Date,Team,Person 1,Person 2,Score,Status,Notes
2026-07-09,Girls,Maya Lindqvist,Ava Thompson,"6-1, 6-4",Verified,
2026-07-10,Girls,Maya Lindqvist,Sofia Ramos,"4-6, 6-3, 10-8",Verified,
2026-07-10,Girls,Chloe Bennett,Sofia Ramos,"6-4, 6-2",Verified,
2026-07-10,Girls,Ava Thompson,Nina Kowalski,"3-6, 3-6",Verified,
2026-07-11,Girls,Zara Haddad,Ava Thompson,"2-6, 6-4, 10-4",Verified,
2026-07-13,Girls,Lena Fischer,Ava Thompson,"4-6, 4-6",Verified,
2026-07-16,Boys,Adrian Foster,Pedro Alvarez,"7-6, 4-6, 10-5",Verified,
2026-07-17,Boys,Ravi Menon,Marcus Webb,"2-6, 2-6",Verified,
2026-07-18,Boys,Adrian Foster,Diego Ramirez,"2-6, 3-6",Verified,
2026-07-20,Boys,Adrian Foster,Jake Whitmore,"0-6, 1-6",Verified,
2026-07-20,Boys,Ravi Menon,Pedro Alvarez,"6-4, 4-6, 4-10",Verified,
2026-07-20,Girls,Chloe Bennett,Maya Lindqvist,"3-6, 2-6",Verified,
2026-07-23,Boys,Diego Ramirez,Johnny Park,"6-4, 6-4",Verified,
2026-07-23,Boys,Johnny Park,Marcus Webb,"6-2, 7-5",Verified,
2026-07-25,Boys,Johnny Park,Ethan Cole,"6-3, 7-5",Verified,
2026-07-25,Boys,Johnny Park,Mike Sullivan,"4-6, 3-6",Verified,
2026-07-27,Boys,Pedro Alvarez,Johnny Park,"3-6, 4-6",Verified,
2026-07-28,Boys,Adrian Foster,Johnny Park,"6-4, 6-7, 10-5",Verified,
2026-07-28,Girls,Sofia Ramos,Maya Lindqvist,"3-6, 3-6",Verified,
2026-07-29,Girls,Zara Haddad,Nina Kowalski,"6-3, 2-6, 10-4",Verified,
2026-07-30,Boys,Adrian Foster,Ethan Cole,"2-6, 4-6",Verified,
2026-07-31,Girls,Priya Raman,Ava Thompson,"6-3, 6-3",Verified,
2026-07-31,Girls,Ava Thompson,Chloe Bennett,"7-5, 6-4",Verified,
2026-08-01,Girls,Zara Haddad,Priya Raman,"4-6, 6-4, 6-10",Verified,
2026-08-03,Boys,Ethan Cole,Ravi Menon,"6-4, 6-2",Verified,
2026-08-06,Boys,Diego Ramirez,Jake Whitmore,"6-2, 6-3",Verified,
2026-08-06,Boys,Mike Sullivan,Ravi Menon,"6-2, 6-3",Verified,
2026-08-06,Boys,Pedro Alvarez,Adrian Foster,"6-3, 6-3",Verified,
2026-08-07,Boys,Mike Sullivan,Marcus Webb,"6-3, 5-7, 6-10",Verified,
2026-08-07,Boys,Ravi Menon,Johnny Park,"4-6, 4-6",Verified,
2026-08-07,Girls,Lena Fischer,Sofia Ramos,"1-6, 2-6",Verified,
2026-08-08,Girls,Priya Raman,Maya Lindqvist,"4-6, 7-5, 4-10",Verified,
2026-08-11,Girls,Priya Raman,Sofia Ramos,"3-6, 6-4, 8-10",Verified,
2026-08-11,Girls,Priya Raman,Bella Moreau,"6-0, 6-2",Verified,
2026-08-12,Boys,Diego Ramirez,Mike Sullivan,"5-7, 7-6, 6-10",Verified,
2026-08-14,Boys,Marcus Webb,Jake Whitmore,"6-4, 2-6, 10-8",Verified,
2026-08-14,Boys,Tyler Brooks,Jake Whitmore,"2-6, 1-6",Verified,
2026-08-14,Girls,Lena Fischer,Bella Moreau,"6-4, 6-3",Verified,
2026-08-15,Girls,Bella Moreau,Nina Kowalski,"2-6, 3-6",Verified,
2026-08-15,Girls,Zara Haddad,Bella Moreau,"6-3, 6-3",Verified,
2026-08-19,Boys,Marcus Webb,Ethan Cole,"4-6, 2-6",Verified,
2026-08-19,Girls,Nina Kowalski,Sofia Ramos,"2-6, 2-6",Verified,
2026-08-19,Girls,Lena Fischer,Priya Raman,"1-6, 2-6",Verified,
2026-08-20,Girls,Zara Haddad,Ava Thompson,"5-7, 4-6",Verified,
2026-08-22,Boys,Johnny Park,Jake Whitmore,"2-6, 0-6",Verified,
2026-08-22,Girls,Bella Moreau,Sofia Ramos,"1-6, 0-6",Verified,
2026-08-22,Girls,Hana Suzuki,Chloe Bennett,"5-7, 5-7",Verified,
2026-08-24,Boys,Johnny Park,Adrian Foster,"3-6, 6-7",Verified,
2026-08-24,Girls,Priya Raman,Ava Thompson,"6-4, 6-3",Verified,
2026-08-24,Girls,Bella Moreau,Lena Fischer,"5-7, 5-7",Verified,
2026-08-25,Boys,Ravi Menon,Jake Whitmore,"1-6, 1-6",Verified,
2026-08-25,Boys,Marcus Webb,Johnny Park,"6-3, 6-4",Verified,
2026-08-26,Boys,Ethan Cole,Tyler Brooks,"6-3, 6-1",Verified,
2026-08-26,Boys,Pedro Alvarez,Marcus Webb,"2-6, 6-4, 8-10",Verified,
2026-08-26,Girls,Chloe Bennett,Zara Haddad,"6-2, 6-3",Verified,
2026-08-26,Girls,Ava Thompson,Nina Kowalski,"3-6, 3-6",Verified,
2026-08-27,Girls,Hana Suzuki,Priya Raman,"2-6, 3-6",Verified,
2026-08-27,Girls,Lena Fischer,Chloe Bennett,"2-6, 7-5, 6-10",Verified,
2026-08-28,Boys,Marcus Webb,Diego Ramirez,"6-4, 6-3",Verified,
2026-08-29,Girls,Priya Raman,Chloe Bennett,"6-3, 3-6, 10-5",Verified,
2026-08-31,Boys,Ravi Menon,Adrian Foster,"5-7, 6-3, 10-6",Pending,
2026-08-31,Girls,Zara Haddad,Bella Moreau,"6-4, 6-4",Pending,
2026-09-02,Boys,Ravi Menon,Pedro Alvarez,"7-5, 7-5",Pending,"Court 3, finished after dark"
